ID,中文名 (Name CN),英文名 (Name EN),数据类型 (Type),大类 (Category),子类 (Subtype),业务描述 (Description)
1,银环蛇,Bungarus multicinctus,Narrative,General,,"该诈骗家族主要高度依赖DCloud公司的UniApp多端开发框架。 其主要业务逻辑通过JavaScript开发，不仅开发成本低，还能够有效避开传统检测工具的侦测。 启动后，这些应用程序直接加载由Uni框架开发的页面，并连接至指定服务器。 其应用包名统一采用""uni.UNI""加""UNI_APP_ID""的命名形式。"
2,树蚺,BOOMSLANG,Narrative,General,,"该诈骗家族主要以开源的Telegram Android源代码作为其欺诈行为的核心功能模板。该应用可能包括但不限于刷单、色情内容传播、投资诈骗等功能。 该家族通常的做法是从阿里云oss地址中解密目标IP地址和端口，然后利用阿里游戏盾持续获取目标IP的代理IP，以实现动态通讯通道，绕过封堵。 这些应用的包名通常以""im""开头，以""messenger""结尾，中间包含一串随机字符。"
3,美杜莎,Medusa,Narrative,General,,该家族集成了网易的IM服务产品云信SDK。 通过查询云信SDK中内置的DoH服务器，获得不断变化的域名。以此实现封堵逃逸。 该家族集成了微信开放平台SDK，支持微信登录，并实现与封装后的云信IM进行信息交换。
4,树蟒,Morelia,Narrative,General,,该家族的应用程序相似度非常高，均使用腾讯的壳来对抗静态检测，同时采用字符串混淆来隐藏一些关键信息。 这些应用程序都集成了首信易支付公司的支付SDK PayEase。 一般伪装成投资项目之类的应用。 启动后，访问硬编码的亚马逊oss静态文件地址，读取其中配置的IP地址，连接至远程服务器。
5,眼镜蛇,NAJA,Narrative,General,,"该家族的APK安装包非常小，通常约为3.7MB左右。 这些应用程序实现非常简单，集成了著名的文件下载器com.liulishuo.filedownloader。 应用程序的运行方式是启动后，用Android系统内置的WebView加载一个远程网址。 包名统一采用""com.xoox.appi""加11位16进制随机数。"
6,蓝环章鱼,Blue-Ringed Octopus,Narrative,General,,该家族的APK安装包约为30MB左右，通常采用腾讯的壳来对抗静态检测。 这些应用程序硬编码了阿里云和腾讯云的OSS文件地址。 应用程序启动后，通过访问OSS文件地址，解密文件内容，获取远程服务器地址。 包名由三组随机字符组成，每组包含6个随机字符，例如：feaedf.afeihg.ibbafh。
7,箱水母,Chironex fleckeri,Narrative,General,,该家族的APK安装包相对较小，约为7MB左右。 实现非常简单，应用启动后，通过Android系统内置的WebView加载一个网络聊天室。 聊天室的网址硬编码在代码中，静态检测可发现。 包名统一采用com.android.ruiying加上一个11位的伪随机数，例如：com.android.ruiying_02270457451。0227疑似代表日期。
8,赤背蛛,Latrodectus hasselti,Narrative,General,,该家族APK安装包非常小，通常约为1.6MB左右。 实现非常简单，只包含一个Android系统组件Activity，启动后通过Android内置WebView加载一个网页。 网页地址硬编码在资源文件assets下的配置文件中。 包名规则明显，统一采用com.example开头，后面跟两个相同的四位随机字符字符串。
9,布谷鸟,Cuckoo,Narrative,General,,该诈骗APP家族主要基于Farsunset的商业通讯解决方案“布咕”的旧版Demo进行修改。其功能与微信相似。 诈骗样本的代码与官网Demo高度相似，开发者仅进行简单的修改，如替换后台服务器地址和部分UI资源。这种高度相似性使得用户难以分辨其真实身份，进而上当受骗。
10,树蚺Plus,BOOMSLANG,Narrative,General,,连接地址硬编码的远程服务器，获取配置文件，解析配置 根据国家获取不同的IP和端口配置，进行目标地址访问。
11,漏斗网蜘蛛,Funnel-web spider,Narrative,General,,该家族内部实现了简单的IM客户端，主要通过淫秽对话实施诈骗。 启动时，首先连接多个官方DoH服务器，以确保网络畅通。随后连接自建的DoH服务器，获取真正的通讯服务器。 该应用对大部分网络通讯相关内容（如URL等）进行加密或编码处理，以应对静态检测。
12,跳跳虎,Spring Tiger,Narrative,General,,该家族除了采用360的壳以外，对所有字符串采用加密编码，对抗静态扫描。 APK包很小，通过启动后加载一个在线网址呈现内容 APK的主要功能是广告、推广、下载APP，没有即时通讯功能
13,字符青蛙,Code Frog,Narrative,General,,采用了非常复杂的字符串混淆技术来对抗静态扫描 代码中内置了后台服务器地址，启动后连接后台服务器地址，获取用户列表，用户主页内容等 应用的主要内容色情为主题的社交
14,彩虹幽灵,Spectral Rainbow,Narrative,General,,内置了开源的IM系统 内置了几个备用的IP地址作为IM后台，启动后设置IP地址给IM，开启IM通讯
15,白眼企鹅,Ghost Penguin,Narrative,General,,内部采用了腾讯系的诸多商用IM以及周边服务来完成 主要通过com.tencent.qcloud.tuikit实现IM
16,果蝇,Data Fly,Narrative,General,,自己开发或者购买了未公开的IM系统，该IM系统采用mqtt协议 代码高度混淆
17,亿博,MegaSpread,Narrative,General,,该家族没有IM功能，实现了一个赌博的客户端 APP上可以下注、绑定银行卡，支付宝，使用加密货币等操作
18,云蚁,Cloud Swarm,Narrative,General,,IM功能分成两部分，服务端采用了网易云信的IM服务，客户端自己开发了UI
19,白眼企鹅,Ghost Penguin,Narrative,General,,内部采用了腾讯系的诸多商用IM以及周边服务来完成 主要通过com.tencent.imsdk实现IM
20,曼陀罗,Lotus Trap,Narrative,General,,内部自己实现了一套功能完整的付费聊天程序 APP内的主要功能免费聊天，语音通话，live、限时聊天，评论、赠送礼物等，是典型的色情服务应用。 可以网页调起js://alipay等进行支付。
21,信鸦,Cipher Crow,Narrative,General,,自己开发或者购买了未公开的IM系统 启动后，如果没有配置动态服务器地址获取地址，则采用默认的服务器地址 如果配置了并且有网络，则从远程配置服务器获取地址。
22,皮影戏,Shadow Play,Narrative,General,,该APP主要内置了一些列的色情视屏资源，可以在线观看色情视频
23,变色龙,ColorShift,Narrative,General,,APK很小，6M左右，应用的主要行为是启动打开网站 是在线打包平台一键打包出品 通过打包不同的网址实现批量生产众多类型的APP
24,幻影,PhantomWallet,Narrative,General,,使用DCloud平台实现的证券交易所应用。 功能完善，包括内置客服链接。 借助DCloud的便利的快速构建功能完善的金融类应用。
25,寄居蟹,HermitCrab,Narrative,General,,一个基于APP模版的应用，统一家族APP只有C2不同。 无需联网，通过修改固定位置的 http://ip:port 制造不同的APK。 旨在方便的生成多个变种APP，以逃逸封堵机制。
26,苦杏,BitterApricot,Narrative,General,,内置封装了国内一款专注语音和视频聊天的APP 灵活配置C2地址
27,双簧戏,Two-Person Act,Narrative,General,,技术上采用Flutter技术框架，对抗检测和分析。 行为上获取辅助功能权限，引导用户进行人脸识别和输入密码，最终诈骗用户。
28,数据窃取器-全量数据窃取-001,STEAL-FULL-001,Structured,数据窃取器,全量数据窃取,"类别: 数据窃取器, 子类型: 全量数据窃取。行为标签: B:STEAL.FULL, B:STEAL.CONTACT, B:STEAL.MEDIA, B:STEAL.SMS, B:LOADER.DCLOUD, B:EVA.ICON, B:INST.SILENT"
29,电话诈骗工具-NFC模拟-001,TELE-NFC-001,Structured,电话诈骗工具,NFC模拟,"类别: 电话诈骗工具, 子类型: NFC模拟。行为标签: B:TELE.NFC"
30,间谍软件/监控-通话监听-001,SPY-CALL-001,Structured,间谍软件/监控,通话监听,"类别: 间谍软件/监控, 子类型: 通话监听。行为标签: B:SPY.CALL, B:NET.MQTT"
31,电话诈骗工具-多角色全套-001,TELE-FULL-001,Structured,电话诈骗工具,多角色全套,"类别: 电话诈骗工具, 子类型: 多角色全套。行为标签: B:TELE.FULL, B:RAT.C2, B:RAT.CALL, B:STEAL.SMS, B:SPY.AUDIO, B:SPY.CALL, B:PHISH.IM, B:DROP.STLTH, B:NET.WS"
32,电话诈骗工具-多角色全套-002,TELE-FULL-002,Structured,电话诈骗工具,多角色全套,"类别: 电话诈骗工具, 子类型: 多角色全套。行为标签: B:TELE.FULL, B:TELE.CARD, B:TELE.RELAY, B:RAT.CALL, B:RAT.FULL, B:NET.WS"
34,间谍软件/监控-麦克风窃听-001,SPY-AUDIO-001,Structured,间谍软件/监控,麦克风窃听,"类别: 间谍软件/监控, 子类型: 麦克风窃听。行为标签: B:SPY.AUDIO, B:PHISH.IM, B:VPN.AUDIO, B:VPN.CTRL, B:VPN.PROXY"
35,间谍软件/监控-麦克风窃听-002,SPY-AUDIO-002,Structured,间谍软件/监控,麦克风窃听,"类别: 间谍软件/监控, 子类型: 麦克风窃听。行为标签: B:SPY.AUDIO, B:VPN.PROXY"
36,电话诈骗工具-插卡端-001,TELE-CARD-001,Structured,电话诈骗工具,插卡端,"类别: 电话诈骗工具, 子类型: 插卡端。行为标签: B:TELE.CARD, B:TELE.VOICE, B:STEAL.FULL, B:STEAL.MEDIA, B:NET.WS"
